product_name,product_url,product_price
WALTON TAMARIND MX311G 14 INCH FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 512GB SSD WINDOWS 11 LAPTOP,https://www.techlandbd.com/walton-tamarind-mx11-core-i3-laptop,"52,000৳"
LENOVO IDEAPAD 5 PRO 14ACN6 14 INCH 2.2K IPS DISPLAY RYZEN 7 5800U 16GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/lenovo-ideapad-5-pro-14acn6-laptop,"109,000৳"
ASUS VIVOBOOK PRO 15 M3500QC 15.6 INCH FULL HD DISPLAY RYZEN 5 5600H 16GB RAM 512GB SSD GAMING LAPTOP WITH RTX 3050 4GB GRAPHICS,https://www.techlandbd.com/asus-vivobook-pro-15-m3500qc-ryzen-5-laptop,"135,000৳"
"LENOVO IDEAPAD 130,320,330,520,320C,B320,V145 SERIES LAPTOP BATTERY",https://www.techlandbd.com/lenovo-ideapad-130,"4,100৳"
HP PAVILION 15-EH1678AU 15.6 INCH FULL HD DISPLAY RYZEN 7 5700U 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/hp-pavilion-15-eh1678au-laptop,"87,500৳"
HP PROBOOK 440 G8 14-INCH HD DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP,https://www.techlandbd.com/hp-probook-440-g8-i5-11th-gen-laptop-bd,"89,000৳"
HP 15S-FQ5786TU 15.6 INCH FULL HD DISPLAY INTEL CORE I3 12TH GEN 8GB RAM 512GB LAPTOP,https://www.techlandbd.com/hp-15s-fq5786tu-i3-12th-gen-laptop,"64,000৳"
HP 15S-FQ5487TU 15.6 INCH FULL HD DISPLAY INTEL CORE I3 12TH GEN 8GB RAM 256GB LAPTOP,https://www.techlandbd.com/hp-15s-fq5487tu-core-i3-12th-gen-laptop,"64,500৳"
HP 15S-FQ5486TU 15.6 INCH FULL HD DISPLAY INTEL CORE I3 12TH GEN 4GB RAM 256GB LAPTOP,https://www.techlandbd.com/hp-15s-fq5486tu-12th-gen-laptop,"61,500৳"
HP 14S-DQ5345TU 14 INCH FULL HD DISPLAY INTEL CORE I3 12TH GEN 8GB RAM 512GB LAPTOP,https://www.techlandbd.com/hp-14s-dq5345tu-core-i3-laptop,"65,000৳"
AVITA LIBER V14 14 INCH FULL HD DISPLAY CORE I5 11TH GEN 8GB RAM 512GB SSD LAPTOP (GOLDEN MATT BLACK),https://www.techlandbd.com/avita-liber-v14-14-core-i5-laptop-golden-matt-black,"70,490৳"
ASUS VIVOBOOK 15 X515EA 15.6 INCH FULL HD DISPLAY CORE I3 11TH GEN 8GB RAM 512GB SSD LAPTOP (SLATE GREY),https://www.techlandbd.com/asus-vivobook-15-x515ea-i3-8gb-ram-laptop,"60,000৳"
